part, cost, link, quantity
Raspberry Pi Zero W 2, 15.00, https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/, 1
MicroSD Card 8GB, 6.00, https://a.co/d/27016R3, 1
Camera Module, 10.00, https://a.co/d/d9SwyE8, 1
Battery Pack, 15.00,https://a.co/d/c095PqS, 1
